Fairy,None,Babiri Berry,Sassy,252,0,0,0,4,0,Triage,Giga Drain,Ally Switch,Floral Healing,Draining Kiss,
Flying,Psychic,Weakness Policy,Brave,252,0,0,252,0,0,Iron Barbs,Protect,Body Press,Iron Defense,Leech Seed,
Fire,Poison,Focus Sash,Modest,52,0,0,4,0,0,Cursed Body,Shadow Ball,Psychic,Hypnosis,Destiny Bond,
Ghost,Normal,Psychic Seed,Bold,252,0,0,0,0,252,Psychic Surge,Protect,Expanding Force,Helping Hand,Follow Me,
Water,Ground,Weakness Policy,Serious,0,0,4,0,0,0,Intimidate,Protect,Flare Blitz,Parting Shot,Snarl,
Ground,Steel,Focus Sash,Hardy,4,0,0,0,0,0,Sand Rush,Brick Break,Earthquake,Iron Head,Horn Drill,
Fairy,Fighting,Weakness Policy,Timid,252,0,0,0,0,0,Sand Rush,Protect,Flare Blitz,Parting Shot,Snarl,
Ground,Steel,Focus Sash,Hardy,4,0,0,0,0,0,Sand Rush,Brick Break,Earthquake,Iron Head,Horn Drill,
Psychic,Water,Aguav Berry,Adamant,0,252,0,0,0,0,Water Absorb,Will O Wisp,Trick Room,Shadow Sneak,Crabhammer,
Ice,Steel,Life Orb,Adamant,0,252,0,0,0,0,Water Absorb,Will O Wisp,Trick Room,Shadow Sneak,Crabhammer,
Fire,Bug,Sitrus Berry,Jolly,212,0,0,4,0,0,Harvest,Energy Ball,Giga Drain,Leech Seed,Skill Swap,
Ghost,Water,Aguav Berry,Adamant,0,252,0,0,0,0,Water Absorb,Will O Wisp,Trick Room,Shadow Sneak,Crabhammer,
Steel,Fire,Safety Goggles,Quiet,252,0,0,0,0,0,Water Bubble,Wide Guard,Liquidation,Leech Life,Entrainment,
Rock,Steel,Weakness Policy,Modest,244,0,0,0,4,0,Sturdy,Thunderbolt,Ally Switch,Flash Cannon,Steel Beam,
Fire,Ground,Weakness Policy,Serious,0,0,4,0,0,0,Intimidate,Protect,Flare Blitz,Parting Shot,Snarl,
Dragon,Steel,Life Orb,Modest,28,0,0,0,0,0,Intimidate,Icy Wind,Surf,Aqua Jet,Acid Spray,
Rock,Psychic,Weakness Policy,Relaxed,0,0,0,0,252,0,Punk Rock,Snarl,Volt Switch,Sludge Bomb,Overdrive,
Ground,Poison,Focus Sash,Modest,52,0,0,4,0,0,Cursed Body,Shadow Ball,Psychic,Hypnosis,Destiny Bond,
Psychic,Dragon,Life Orb,Quiet,252,0,0,0,0,252,Pressure,Roar Of Time,Flash Cannon,Power Gem,Dragon Pulse,
Water,Normal,Focus Sash,Jolly,0,0,252,0,0,0,Levitate,Thunder,Blizzard,Thunderbolt,Dark Pulse,
Ghost,Rock,Eviolite,Calm,252,0,0,0,4,0,Cursed Body,Curse,Destiny Bond,Strength Sap,Stealth Rock,
Poison,None,Weakness Policy,Timid,252,0,0,0,0,0,Sand Rush,Will O Wisp,Trick Room,Shadow Sneak,Crabhammer,
Electric,Fire,Safety Goggles,Quiet,252,0,0,0,0,0,Water Bubble,Wide Guard,Liquidation,Leech Life,Entrainment,
Fairy,Fire,Aguav Berry,Adamant,0,252,0,0,0,0,Water Absorb,Will O Wisp,Trick Room,Shadow Sneak,Crabhammer,
Ghost,Steel,Weakness Policy,Modest,244,0,0,0,4,0,Sturdy,Thunderbolt,Ally Switch,Flash Cannon,Steel Beam,
Rock,Electric,Weakness Policy,Modest,244,0,0,0,4,0,Sturdy,Thunderbolt,Ally Switch,Flash Cannon,Steel Beam,
Grass,Water,Focus Sash,Jolly,0,252,0,0,0,0,Speed Boost,Protect,Heat Wave,Close Combat,Coaching,
Water,Dragon,Life Orb,Modest,100,0,0,0,0,4,Pressure,Trick Room,Earth Power,Spacial Rend,Hydro Pump,
Fire,Rock,Choice Scarf,Jolly,4,0,0,252,0,0,Sheer Force,Protect,Substitute,Flare Blitz,U Turn,
Water,Dark,Life Orb,Jolly,84,0,252,0,0,0,Speed Boost,Protect,Bounce,Crunch,Flip Turn,
Ghost,Rock,Leftovers,Brave,92,0,0,0,0,252,Levitate,Protect,Shadow Sneak,Draco Meteor,Shadow Force,
