Rock,Fire,Weakness Policy,Modest,204,0,0,252,0,52,Steam Engine,Protect,Heat Wave,Solar Beam,Meteor Beam,
Ice,Flying,Life Orb,Modest,100,0,0,0,0,0,Static,Thunderbolt,Hurricane,Heat Wave,Detect,
Water,Poison,Assault Vest,Relaxed,252,0,0,0,0,0,Beast Boost,Air Slash,Seed Bomb,Flash Cannon,Iron Head,
Psychic,Water,Leftovers,Adamant,81,0,0,252,0,0,Weak Armor,Protect,Liquidation,X Scissor,Dig,
Ground,Dragon,Aguav Berry,Quirky,0,28,0,0,0,0,Corrosion,Fake Out,Fake Tears,Heat Wave,Sludge Wave,
Flying,Poison,Weakness Policy,Timid,252,0,0,0,0,0,Intimidate,Earthquake,Power Whip,Waterfall,Lash Out,
Ice,Water,Focus Sash,Jolly,0,0,252,0,0,0,Defiant,Sucker Punch,Iron Head,Low Kick,Lash Out,
Ground,Steel,Focus Sash,Modest,0,0,0,252,0,0,Water Absorb,Trick Room,Night Shade,Muddy Water,Strength Sap,
Grass,Water,Focus Sash,Jolly,0,0,252,0,0,0,Defiant,Sucker Punch,Iron Head,Low Kick,Lash Out,
Ghost,Ice,Sitrus Berry,Relaxed,252,0,0,0,0,0,Wandering Spirit,Trick Room,Body Press,Ally Switch,Phantom Force,
Grass,None,Life Orb,Hardy,68,236,4,0,4,196,Chlorophyll,Leaf Blade,X Scissor,Dig,Solar Blade,
Fire,Dark,Shuca Berry,Careful,252,0,0,0,0,4,Intimidate,Fake Out,Flare Blitz,Parting Shot,Snarl,
Steel,Fighting,Assault Vest,Adamant,252,0,252,0,0,0,No Guard,Close Combat,Wide Guard,Quick Guard,Dynamic Punch,
Fire,None,Choice Scarf,Adamant,0,252,0,0,0,0,Mold Breaker,Rock Tomb,Iron Tail,Earthquake,Breaking Swipe,
Psychic,Steel,Weakness Policy,Careful,4,0,0,0,0,0,Weak Armor,Giga Drain,Shadow Ball,Stored Power,Teatime,
Ground,None,Assault Vest,Adamant,116,252,4,0,60,76,Sand Rush,Bulldoze,Brick Break,Drill Run,Steel Roller,
Dragon,Flying,Life Orb,Timid,20,0,4,252,4,228,Air Lock,Hurricane,Air Slash,Draco Meteor,Dragon Ascent,
Ground,None,Assault Vest,Adamant,252,156,4,0,60,36,Drought,Precipice Blades,Giga Impact,Rock Tomb,Bulldoze,
Electric,None,Light Clay,Modest,80,0,0,4,0,252,Inner Focus,Light Screen,Thunder Wave,Thunderbolt,Bulldoze,
Fire,None,Choice Scarf,Adamant,0,252,0,0,0,0,Mold Breaker,Rock Tomb,Iron Tail,Earthquake,Breaking Swipe,
Grass,Poison,Coba Berry,Sassy,252,0,100,0,156,0,Regenerator,Protect,Spore,Rage Powder,Seed Bomb,
Fairy,None,Pixie Plate,Modest,100,0,4,156,4,244,Pixilate,Mystical Fire,Shadow Ball,Moonblast,Hyper Voice,
Ground,Steel,Focus Sash,Modest,0,0,0,252,0,0,Water Absorb,Trick Room,Night Shade,Muddy Water,Strength Sap,
Ground,Steel,Focus Sash,Modest,0,0,0,252,0,0,Water Absorb,Trick Room,Night Shade,Muddy Water,Strength Sap,
Dragon,Ice,Life Orb,Timid,132,0,0,212,0,164,Turboblaze,Ice Beam,Hyper Beam,Earth Power,Draco Meteor,
Fighting,Psychic,Focus Sash,Sassy,252,0,0,0,0,4,Magic Bounce,Expanding Force,Dazzling Gleam,Ally Switch,Weather Ball,
Steel,Dark,Focus Sash,Jolly,0,252,0,0,0,4,Defiant,Sucker Punch,Iron Head,Low Kick,Lash Out,
Ground,Water,Aguav Berry,Quirky,0,28,0,0,0,0,Corrosion,Fake Out,Fake Tears,Heat Wave,Sludge Wave,
Dragon,Flying,Life Orb,Modest,100,0,0,0,0,0,Static,Thunderbolt,Hurricane,Heat Wave,Detect,
Fighting,None,Lum Berry,Adamant,252,0,252,0,0,0,No Guard,Close Combat,Wide Guard,Quick Guard,Dynamic Punch,
Bug,Rock,Weakness Policy,Relaxed,0,200,140,0,164,0,Weak Armor,Rock Slide,Earthquake,X Scissor,Rock Wrecker,
Dragon,Flying,Life Orb,Modest,100,0,0,0,0,0,Static,Thunderbolt,Hurricane,Heat Wave,Detect,
Poison,Dragon,Weakness Policy,Quiet,244,0,0,252,12,0,Adaptability,Protect,Hydro Pump,Sludge Bomb,Draco Meteor,
Ghost,Ice,Sitrus Berry,Relaxed,252,0,0,0,0,0,Wandering Spirit,Trick Room,Body Press,Ally Switch,Phantom Force,
Electric,None,Focus Sash,Timid,244,0,0,4,0,4,Lightning Rod,Fake Out,Helping Hand,Nuzzle,Tail Whip,
Dragon,Flying,Life Orb,Modest,100,0,0,0,0,0,Static,Thunderbolt,Hurricane,Heat Wave,Detect,
Poison,None,Power Herb,Modest,224,0,0,0,0,0,Perish Body,Earth Power,Shadow Ball,Power Gem,Burning Jealousy,
Dark,None,Focus Sash,Naive,0,4,0,0,252,0,Prankster,Thunder Wave,Foul Play,Fake Tears,Dragon Pulse,
Dark,Ice,Focus Sash,Timid,252,0,0,4,0,252,Inner Focus,Icy Wind,Surf,Sunny Day,Triple Axel,
Ice,Grass,Focus Sash,Jolly,0,0,252,0,0,0,Defiant,Sucker Punch,Iron Head,Low Kick,Lash Out,
Grass,Dragon,Life Orb,Adamant,4,0,0,252,0,0,Flash Fire,Heat Wave,Shadow Ball,Ally Switch,Overheat,
Dragon,Flying,Life Orb,Modest,100,0,0,0,0,0,Static,Thunderbolt,Hurricane,Heat Wave,Detect,
Grass,Steel,Life Orb,Adamant,4,0,0,252,0,0,Slush Rush,Iron Head,Icicle Crash,Drill Run,Triple Axel,
Ghost,Bug,Safety Goggles,Hardy,4,0,0,212,0,0,Flash Fire,Heat Wave,Shadow Ball,Ally Switch,Overheat,
Water,Flying,Focus Sash,Bold,252,0,164,68,4,20,Swift Swim,Hurricane,Tailwind,Hydro Pump,Wide Guard,
Steel,Dark,Focus Sash,Jolly,0,252,0,0,0,4,Defiant,Sucker Punch,Iron Head,Low Kick,Lash Out,
Ice,Water,Focus Sash,Jolly,0,0,252,0,0,0,Defiant,Sucker Punch,Iron Head,Low Kick,Lash Out,
Dark,Dragon,Assault Vest,Timid,12,4,4,220,12,252,Levitate,Earth Power,Dark Pulse,Flash Cannon,Draco Meteor,
Steel,Dark,Focus Sash,Adamant,0,252,0,0,0,0,Speed Boost,Protect,Bounce,Crunch,Flip Turn,
Grass,Dragon,Life Orb,Adamant,4,0,0,252,0,0,Flash Fire,Heat Wave,Shadow Ball,Ally Switch,Overheat,
Poison,None,Shuca Berry,Timid,252,0,4,0,0,252,Neutralizing Gas,Protect,Taunt,Will O Wisp,Sludge Bomb,
Electric,None,Light Clay,Modest,80,0,0,4,0,252,Inner Focus,Light Screen,Thunder Wave,Thunderbolt,Bulldoze,
Water,Psychic,Mystic Water,Relaxed,252,0,252,0,4,0,Regenerator,Expanding Force,Trick Room,Yawn,Hydro Pump,
Water,None,Choice Scarf,Timid,0,0,0,252,0,252,Cloud Nine,Surf,Aqua Jet,Flip Turn,Clear Smog,
Electric,None,Focus Sash,Timid,244,0,0,4,0,4,Lightning Rod,Fake Out,Helping Hand,Nuzzle,Tail Whip,
Fighting,Psychic,Focus Sash,Sassy,252,0,0,0,0,4,Magic Bounce,Expanding Force,Dazzling Gleam,Ally Switch,Weather Ball,
Dark,Fairy,Light Clay,Careful,252,0,204,0,52,0,Prankster,Reflect,Light Screen,Thunder Wave,Spirit Break,
Ghost,Bug,Safety Goggles,Hardy,4,0,0,212,0,0,Flash Fire,Heat Wave,Shadow Ball,Ally Switch,Overheat,
Psychic,Water,Leftovers,Adamant,81,0,0,252,0,0,Weak Armor,Protect,Liquidation,X Scissor,Dig,
Water,Poison,Assault Vest,Relaxed,252,0,0,0,0,0,Beast Boost,Air Slash,Seed Bomb,Flash Cannon,Iron Head,
Flying,Rock,Weakness Policy,Hardy,0,248,0,0,236,0,Weak Armor,Protect,Liquidation,X Scissor,Dig,
